"fixture_type","fixture_id","fixture_code","realistic_target_type","realistic_target_id","realistic_target_code","mapping_decision","physical_identity_evidence","business_identity_evidence","jurisdiction_comparison","topology_comparison","site_type_comparison","confidence","conflicts","approval_required","operational_activation_change_in_scope"
"ASSIGNMENT","e5af0650-8dfc-e3ce-c5b5-6837ea9493f8","SAMPLE-METRO-CEBU-0722270000-01","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","6d888744-148a-ef95-0cf9-10eb6b641d30","SAMPLE-METRO-CEBU-0722270000-02","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","7807eb20-f3ea-2de9-9f0e-460619d42a09","SAMPLE-METRO-CEBU-0722310000-01","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","f028e687-8ee8-191e-2839-3067ca8f13f7","SAMPLE-METRO-CEBU-0722310000-02","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","d5b9eeb9-6ec0-9275-0eef-711f9d99d1b9","SAMPLE-METRO-CEBU-0722340000-01","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","40008b37-bc0f-4ba2-11c4-8932cdf9f0b5","SAMPLE-METRO-CEBU-0722340000-02","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","ca4cddb7-ef8c-01ef-adc0-d18bccb929f4","SAMPLE-METRO-CEBU-0722410000-01","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","0e80a54a-1ff5-fc0a-2189-909a2162f42a","SAMPLE-METRO-CEBU-0722410000-02","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","6d6a4bf2-6c18-629c-6c4c-820dfd25894f","SAMPLE-METRO-CEBU-0722500000-01","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","c4a342c2-2cd5-d7d1-3d3e-9d5467f4323f","SAMPLE-METRO-CEBU-0722500000-02","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","2427d49c-83b5-6c9a-a98a-9f79d9e22569","SAMPLE-METRO-CEBU-0730220000-01","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","c37ed7e3-73c0-8c7e-20ea-ddabd1d01e09","SAMPLE-METRO-CEBU-0730220000-02","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","47ed2d79-a6a7-0ead-67ce-d07e2d1dab61","SAMPLE-METRO-CEBU-0730600000-01","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","29b3d5a8-2dac-1620-28d9-7f9751599b03","SAMPLE-METRO-CEBU-0730600000-02","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","4c6f0114-a5b4-922d-c114-66b1a6f47cf5","SAMPLE-METRO-CEBU-0731100000-01","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","4fe25372-4fec-c42c-1210-ed35a56928c1","SAMPLE-METRO-CEBU-0731100000-02","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","23fe327a-be5b-2ba1-0b20-2007f8803f67","SAMPLE-METRO-DAVAO-1123030000-01","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","9032f213-0263-5d4c-9f5e-09422b8f91b3","SAMPLE-METRO-DAVAO-1123030000-02","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","4f64f22a-e393-0f74-ea0f-9f38b155cf6c","SAMPLE-METRO-DAVAO-1123150000-01","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","db535512-7801-03a5-7271-67bf8bfdf11c","SAMPLE-METRO-DAVAO-1123150000-02","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","178dab0b-5bbe-4654-637b-1816f0948e31","SAMPLE-METRO-DAVAO-1123170000-01","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","dfbe4c95-f6ad-84e1-1804-76b0c030a756","SAMPLE-METRO-DAVAO-1123170000-02","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","2f0d0132-4802-72bf-02da-c97d0b0a1e80","SAMPLE-METRO-DAVAO-1123190000-01","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","3982ad86-901e-1574-6f0d-357582a13d63","SAMPLE-METRO-DAVAO-1123190000-02","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","7af01ab5-0983-bdb3-e7fc-1d2ee347a333","SAMPLE-METRO-DAVAO-1124030000-01","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","8525fae3-b2ae-f2cd-7016-a5a8c49b4a32","SAMPLE-METRO-DAVAO-1124030000-02","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","ad28dc41-3843-46a9-d26f-d1ab322042f2","SAMPLE-METRO-DAVAO-1124040000-01","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","5ed23e04-2872-6fcb-2f4f-e191af6e8403","SAMPLE-METRO-DAVAO-1124040000-02","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","bfaf2322-baa7-30fb-5431-57675b87a917","SAMPLE-METRO-DAVAO-1124060000-01","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","9d1b3e39-31cd-84aa-e88d-06c727c0e9be","SAMPLE-METRO-DAVAO-1124060000-02","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","033f9b04-842f-2db5-cb53-a17940ebe13b","SAMPLE-METRO-DAVAO-1124070000-01","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","3db2fd13-802a-9600-328a-960a21fdf317","SAMPLE-METRO-DAVAO-1124070000-02","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","4f4a6b0a-9d97-2994-c077-b80e182d7b53","SAMPLE-METRO-DAVAO-1124110000-01","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","415f3bc6-4df9-efb0-e06a-273523aeea02","SAMPLE-METRO-DAVAO-1124110000-02","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","817e7b5f-47d3-8e77-333f-3fb48c33a0f0","SAMPLE-METRO-DAVAO-1124140000-01","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","275703b2-748e-29f9-e7dc-49f467655399","SAMPLE-METRO-DAVAO-1124140000-02","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","9062aa0b-0c5c-0efe-7cc4-ff8cc24341b2","SAMPLE-METRO-DAVAO-1125090000-01","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","3f480f91-0cd8-fae5-0ef7-6af789a0c74d","SAMPLE-METRO-DAVAO-1125090000-02","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","e3f789e7-234b-fa34-6d4e-1d694ab6e404","SAMPLE-METRO-DAVAO-1130700000-01","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","6f59b3af-6a5a-3ad8-0f45-8c595597c6e6","SAMPLE-METRO-DAVAO-1130700000-02","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","878a20e1-5aa2-9766-a579-4b2e546603d1","SAMPLE-METRO-DAVAO-1182040000-01","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","08eb986b-c806-1520-9ab3-901a5b176cfc","SAMPLE-METRO-DAVAO-1182040000-02","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","cef95aee-a574-4557-1f6a-f04164c148b9","SAMPLE-METRO-DAVAO-1186030000-01","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","451aa420-57c7-a8ca-1298-0ea63be95115","SAMPLE-METRO-DAVAO-1186030000-02","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","ad383868-17a4-abfc-c5a8-3a7d5e70ba73","SAMPLE-METRO-DAVAO-1186040000-01","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","5ed22d5e-bc70-83cb-1d1d-15f6590d7d01","SAMPLE-METRO-DAVAO-1186040000-02","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
"ASSIGNMENT","68677108-45e5-9812-5399-f6293205ac68","SAMPLE-METRO-MANILA-1380100000-01","","","","NO_REALISTIC_EQUIVALENT","Assignment belongs to a synthetic ordinal Site, not a physical facility identity.","I-006 jurisdiction-coverage proof only.","Jurisdiction may be shared with realistic Sites but assignment identity is Site-specific.","No transferable topology.","NOT_APPLICABLE","HIGH","Transfer would rewrite the identity of a different Site.","No mapping proposed; any future retirement requires environment-specific dependency proof.","false"
